S,E,I1,I2,H,R,cum_I,Run_Count,total_population,R0_value,initial_I_ratio,total_testing_number
85980.6, 271.612, 328.383, 36.1741, 344.78, 2038.45, 364.557, 6, 89000, 2, 0.00637, 500
85930.3, 267.602, 324.953, 27.8869, 360.153, 2089.11, 352.84, 6, 89000, 2, 0.00637, 500
85881.6, 262.749, 322.206, 36.9512, 356.428, 2140.04, 359.157, 6, 89000, 2, 0.00637, 500
85832.1, 259.71, 317.976, 35.0767, 363.969, 2191.15, 353.053, 6, 89000, 2, 0.00637, 500
85783.5, 256.409, 312.623, 31.1538, 373.971, 2242.37, 343.777, 6, 89000, 2, 0.00637, 500
85736.1, 252.463, 310.19, 32.3131, 375.259, 2293.64, 342.503, 6, 89000, 2, 0.00637, 500
85689, 249.105, 309.379, 31.1528, 376.455, 2344.91, 340.531, 6, 89000, 2, 0.00637, 500
85642.2, 246.122, 304.155, 31.8739, 379.565, 2396.12, 336.029, 6, 89000, 2, 0.00637, 500
85596, 243.09, 301.886, 33.3645, 378.453, 2447.23, 335.251, 6, 89000, 2, 0.00637, 500
85549.9, 240.533, 293.356, 32.5667, 385.421, 2498.21, 325.923, 6, 89000, 2, 0.00637, 500
85505.2, 237.182, 288.077, 32.6725, 387.891, 2549.02, 320.749, 6, 89000, 2, 0.00637, 500
85461.1, 233.768, 284.705, 29.5697, 391.184, 2599.64, 314.275, 6, 89000, 2, 0.00637, 500
85418, 230.125, 280.097, 29.4836, 392.243, 2650.03, 309.58, 6, 89000, 2, 0.00637, 500
85375.6, 226.546, 277.307, 35.1852, 385.225, 2700.16, 312.492, 6, 89000, 2, 0.00637, 500
85332.8, 224.061, 276.216, 29.2647, 387.709, 2750, 305.481, 6, 89000, 2, 0.00637, 500
85290.9, 221.09, 275.855, 28.618, 384.016, 2799.51, 304.473, 6, 89000, 2, 0.00637, 500
85249.2, 218.556, 269.104, 24.8393, 389.586, 2848.69, 293.943, 6, 89000, 2, 0.00637, 500
85209, 215.067, 257.48, 28.1784, 392.758, 2897.51, 285.658, 6, 89000, 2, 0.00637, 500
86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 566.93, 7, 89000, 2, 0.00637, 500
86669.4, 273.317, 388.52, 112.509, 74, 1482.3, 501.029, 7, 89000, 2, 0.00637, 500
86599.7, 288.355, 380.033, 91.8714, 116.714, 1523.37, 471.905, 7, 89000, 2, 0.00637, 500
86534.1, 296.281, 371.258, 77.6104, 155.378, 1565.41, 448.868, 7, 89000, 2, 0.00637, 500
86471.7, 299.372, 367.219, 64.8437, 188.279, 1608.57, 432.062, 7, 89000, 2, 0.00637, 500
86411.7, 299.467, 362.901, 55.1743, 217.831, 1652.88, 418.075, 7, 89000, 2, 0.00637, 500
86353.8, 297.562, 366.905, 41.2013, 242.271, 1698.31, 408.106, 7, 89000, 2, 0.00637, 500
86297.2, 294.617, 362.356, 41.1121, 259.966, 1744.76, 403.468, 7, 89000, 2, 0.00637, 500
86241.3, 291.581, 365.72, 36.8525, 272.397, 1792.15, 402.572, 7, 89000, 2, 0.00637, 500
86185.6, 288.993, 358.418, 36.715, 289.94, 1840.36, 395.133, 7, 89000, 2, 0.00637, 500
86130.9, 285.857, 354.276, 32.4321, 307.23, 1889.29, 386.708, 7, 89000, 2, 0.00637, 500
86077.4, 282.149, 347.99, 31.2669, 322.285, 1938.86, 379.257, 7, 89000, 2, 0.00637, 500
86025, 278.119, 340.635, 28.9625, 338.265, 1988.97, 369.597, 7, 89000, 2, 0.00637, 500
85974, 273.53, 338.24, 34.5809, 340.103, 2039.53, 372.821, 7, 89000, 2, 0.00637, 500
85922.6, 270.273, 333.375, 33.5226, 349.81, 2090.46, 366.897, 7, 89000, 2, 0.00637, 500
85872, 266.82, 328.4, 28.3446, 362.824, 2141.65, 356.745, 7, 89000, 2, 0.00637, 500
85822.8, 262.629, 329.298, 30.3292, 361.908, 2193.05, 359.627, 7, 89000, 2, 0.00637, 500
85773.2, 259.644, 324.545, 31.9205, 366.057, 2244.59, 356.465, 7, 89000, 2, 0.00637, 500
85724.2, 256.793, 324.713, 32.2191, 365.91, 2296.19, 356.932, 7, 89000, 2, 0.00637, 500
85675.1, 254.548, 323.47, 29.3253, 369.774, 2347.83, 352.796, 7, 89000, 2, 0.00637, 500
85626.5, 252.155, 320.002, 26.5035, 375.361, 2399.44, 346.506, 7, 89000, 2, 0.00637, 500
85578.9, 249.348, 310.446, 28.7397, 381.55, 2451, 339.186, 7, 89000, 2, 0.00637, 500
85532.3, 246.071, 306.18, 25.6478, 387.296, 2502.48, 331.828, 7, 89000, 2, 0.00637, 500
85486.8, 242.414, 302.76, 28.58, 385.632, 2553.85, 331.34, 7, 89000, 2, 0.00637, 500
85441.3, 239.397, 299.073, 27.0835, 388.087, 2605.06, 326.156, 7, 89000, 2, 0.00637, 500
85396.6, 236.248, 295.226, 31.5127, 384.367, 2656.08, 326.739, 7, 89000, 2, 0.00637, 500
85351.8, 233.786, 288.213, 29.4367, 389.912, 2706.87, 317.65, 7, 89000, 2, 0.00637, 500
